id;nombre;codigo;latitud;longitud;estados_id
1;Leticia;91.001;-4.2129211;-69.9425963;1
2;El Encanto;91.263;-1.7444574;-73.2090566;1
3;La Chorrera;91.405;-1.28238575;-72.63769767729893;1
4;La Pedrera;91.407;-1.1950965500000001;-70.0887759061539;1
5;La Victoria;91.43;-0.12137909999999999;-71.08260851265166;1
6;Puerto Arica;91.536;-2.1475772;-71.7540411;1
7;Puerto Nariño;91.54;-3.7794995;-70.36365272868767;1
8;Puerto Santander;91.669;-1.0783329;-72.1843329708499;1
9;Tarapacá;91.798;-2.6100092;-69.9341188688494;1
10;Puerto Alegría;91.53;-1.0049233;-74.0136193;1
11;Miriti Paraná;91.46;-0.6082248;-71.24644444685288;1
12;Medellín;5.001;6.2443382;-75.573553;2
13;Abejorral;5.002;5.7914299;-75.4270381;2
14;Abriaquí;5.004;6.6319273;-76.0645541;2
15;Alejandría;5.021;6.3769175;-75.1411601;2
16;Amagá;5.03;6.0406977;-75.7030694;2
17;Amalfi;5.031;6.9070097;-75.0735908;2
18;Andes;5.034;5.6555942;-75.8778448;2
19;Angelópolis;5.036;6.1115405;-75.7102848;2
20;Angostura;5.038;6.8858191;-75.3349565;2
21;Anorí;5.04;7.0736127;-75.1466433;2
22;Anza;5.044;6.3034529;-75.8540836;2
23;Apartadó;5.045;7.8849011;-76.6227461;2
24;Arboletes;5.051;8.8528266;-76.4273168;2
25;Argelia;5.055;5.7310785;-75.1428525;2
26;Armenia;5.059;6.1561777;-75.7870472;2
27;Barbosa;5.079;6.4370185;-75.3313779;2
28;Bello;5.088;6.334997;-75.5582665;2
29;Betania;5.091;5.7451779;-75.9768362;2
30;Betulia;5.093;6.1134294;-75.9845433;2
31;Ciudad Bolívar;5.101;5.8500342;-76.0208666;2
32;Briceño;5.107;7.1114459;-75.5515058;2
33;Buriticá;5.113;6.719853;-75.9068707;2
34;Cáceres;5.12;7.577089;-75.3514383;2
35;Caicedo;5.125;6.405955;-75.9825592;2
36;Caldas;5.129;6.0918609;-75.6356917;2
37;Campamento;5.134;6.9790857;-75.2963715;2
38;Cañasgordas;5.138;6.7519854;-76.0261638;2
39;Caracolí;5.142;6.4092756;-74.7566979;2
40;Caramanta;5.145;5.5487065;-75.6444056;2
41;Carepa;5.147;7.7585419;-76.6531687;2
42;Carolina;5.15;6.7234802;-75.2815889;2
43;Caucasia;5.154;7.9877579;-75.1983745;2
44;Chigorodó;5.172;7.6661504;-76.6766703;2
45;Cisneros;5.19;6.5382418;-75.0871316;2
46;Cocorná;5.197;6.0580111;-75.1859102;2
47;Concepción;5.206;6.3952317;-75.2591598;2
48;Concordia;5.209;6.0457595;-75.9074199;2
49;Copacabana;5.212;6.3461047;-75.5080262;2
50;Dabeiba;5.234;7.0015209;-76.2666243;2
51;Don Matías;5.237;6.4862703;-75.3946313;2
52;Ebéjico;5.24;6.3265312;-75.7685045;2
53;El Bagre;5.25;7.5989686;-74.8046507;2
54;Entrerrios;5.264;6.5673837;-75.5170942;2
55;Envigado;5.266;6.1701348;-75.587415;2
56;Fredonia;5.282;5.9270644;-75.6718221;2
57;Giraldo;5.306;6.6804539;-75.95338;2
58;Girardota;5.308;6.377645;-75.4445913;2
59;Gómez Plata;5.31;6.6815224;-75.2194104;2
60;Guadalupe;5.315;6.8149918;-75.2403991;2
61;Guarne;5.318;6.2800171;-75.4426875;2
62;Guatapé;5.321;6.2342179;-75.1617452;2
63;Heliconia;5.347;6.2076404;-75.7339685;2
64;Hispania;5.353;5.799535;-75.9073763;2
65;Itagui;5.36;6.1724352;-75.6093254;2
66;Ituango;5.361;7.1723319;-75.7640925;2
67;Belmira;5.086;6.606779;-75.667459;2
68;Jericó;5.368;5.7914622;-75.7862133;2
69;La Ceja;5.376;6.0309532;-75.4316155;2
70;La Estrella;5.38;6.1576944;-75.6434368;2
71;La Pintada;5.39;5.7466446;-75.6054273;2
72;La Unión;5.4;5.9737744;-75.3613093;2
73;Liborina;5.411;6.6781311;-75.8112309;2
74;Maceo;5.425;6.5535012;-74.7877474;2
75;Marinilla;5.44;6.1752941;-75.3377995;2
76;Montebello;5.467;5.9458633;-75.5246825;2
77;Murindó;5.475;6.9782419;-76.8192432;2
78;Mutatá;5.48;7.2440678;-76.436542;2
79;Nariño;5.483;5.609179;-75.17625;2
80;Necoclí;5.49;8.4233906;-76.781487;2
81;Nechí;5.495;8.0938077;-74.7751988;2
82;Olaya;5.501;6.6276127;-75.8127419;2
83;Peñol;5.541;6.2187927;-75.2432026;2
84;Peque;5.543;7.0216424;-75.9095164;2
85;Pueblorrico;5.576;5.7908266;-75.8419104;2
86;Puerto Berrío;5.579;6.4899205;-74.4020634;2
87;Puerto Nare;5.585;6.1876653;-74.5828711;2
88;Puerto Triunfo;5.591;5.8689335;-74.6407965;2
89;Remedios;5.604;7.0285327;-74.695191;2
90;Retiro;5.607;6.0572745;-75.502611;2
91;Rionegro;5.615;6.1536166;-75.3741691;2
92;Sabanalarga;5.628;6.848687;-75.8166534;2
93;Sabaneta;5.631;6.1515344;-75.6153715;2
94;Salgar;5.642;5.9631358;-75.9791386;2
95;San Francisco;5.652;5.9649036;-75.1022061;2
96;San Jerónimo;5.656;6.4427228;-75.727937;2
97;San Luis;5.66;6.0428128;-74.9944061;2
98;San Pedro;5.664;6.2668403;-75.5607892;2
99;San Rafael;5.667;6.2954934;-75.0280123;2
100;San Roque;5.67;6.4851146;-75.0195044;2
101;San Vicente;5.674;6.2826869;-75.3317647;2
102;Santa Bárbara;5.679;5.8747528;-75.5675845;2
103;Santo Domingo;5.69;6.471221;-75.1643724;2
104;El Santuario;5.697;6.1395257;-75.2656308;2
105;Segovia;5.736;7.081679;-74.7009089;2
106;Sopetrán;5.761;6.5009582;-75.7424979;2
107;Támesis;5.789;5.6652526;-75.7139862;2
108;Tarazá;5.79;7.5804751;-75.3998498;2
109;Tarso;5.792;5.864064;-75.8217932;2
