id;nombre;codigo;paises_id
1;Amazonas;91;1
2;Antioquia;5;1
3;Arauca;81;1
4;"Archipiélago de San Andrés; Providencia y Santa Catalina";88;1
5;Atlántico;8;1
6;Bogotá D.C.;11;1
7;Bolívar;13;1
8;Boyacá;15;1
9;Caldas;17;1
10;Caquetá;18;1
11;Casanare;85;1
12;Cauca;19;1
13;Cesar;20;1
14;Chocó;27;1
15;Cundinamarca;25;1
16;Córdoba;23;1
17;Guainía;94;1
18;Guaviare;95;1
19;Huila;41;1
20;La Guajira;44;1
21;Magdalena;47;1
22;Meta;50;1
23;Nariño;52;1
24;Norte de Santander;54;1
25;Putumayo;86;1
26;Quindío;63;1
27;Risaralda;66;1
28;Santander;68;1
29;Sucre;70;1
30;Tolima;73;1
31;Valle del Cauca;76;1
32;Vaupés;97;1
33;Vichada;99;1
