id;nombre;codigo;latitud;longitud;estados_id
1;Guapa Lithuanian;multiestado Blanco SMS;7342;92498;1
2;Plaza Bedfordshire;Cambridgeshire Senior;31570;4199;2
3;Inteligente mano Guapo;withdrawal Bacon Acero;62820;6770;3
4;grow;index uniforme ejecutiva;66603;8946;4
5;SAS Morado Morado;Aragón;59319;82775;5
6;withdrawal niches;SDD;7410;90741;6
7;Supervisor;Distrito Silla Won;86897;64826;7
8;Refinado Berkshire Oro;Algodón Cambridgeshire Oficial;32379;29208;8
9;Juguetería bandwidth;Cambridgeshire Ramal;3195;95134;9
10;panel Checking Bolivia;tiempo Rústico;57862;3951;10
