id;nombre;mision;vision
1;synergistic Ferrocarril neural;nivel;repurpose deposit Joyería
2;República synergize Papelería;Soluciones;Analista Blanco
3;Adaptativo;B2C Guapo;quantifying
4;global Market;de estatica multi-byte;Cuba
5;Baleares Arroyo ADP;calculate Blanco;Castilla orientado
6;expedite Monte Supervisor;Madera Silla Avon;deposit
7;hard Guapa;alarm Refinado open-source;functionalities
8;markets;Decoración acceso conglomeración;convergence
9;Bebes Agente;24/7;Plástico Pantalones
10;Infraestructura;Bacon;Silla Extremadura
