id;nombre;abreviatura;estado;tabla_tipos_catalogo_id
1;Grupo Increible AI;architectures;false;1
2;Líbano Ergonómico;Burkina Pollo;true;2
3;AGP Bielorusia homogénea;Navarra navigate Kenia;true;3
4;Mobilidad;Czech generación e-tailers;false;4
5;primary whiteboard withdrawal;synergies Account Acero;false;5
6;vortals Práctico;Supervisor;false;6
7;Sabroso Shilling portals;Entrada Hong Rupee;true;7
8;open-source parse;XML;true;8
9;Deportes;cross-media firewall;true;9
10;Puerta;synergize enterprise Visionario;false;10
