id;nombre_titulo;nombre_universidad_titulo;year_titulo;tabla_elemento_catalogo_id;profesor_id;paises_id
1;Cambridgeshire Gris Guarani;Finlandia Toallas;2022-06-22T08:12:12;1;1;1
2;red;Sopa Murcia bricks-and-clicks;2022-06-22T03:22:42;2;2;2
3;Bedfordshire;up;2022-06-22T22:39:53;3;3;3
4;SCSI Violeta Versatil;Parafarmacia connect;2022-06-22T14:15:27;4;4;4
5;Ergonómico;Senior;2022-06-22T19:33:15;5;5;5
6;Home benchmark Fantástico;RAM input driver;2022-06-22T21:18:04;6;6;6
7;XML Metal mano;aprovechar Avenida;2022-06-22T15:41:56;7;7;7
8;compressing;Buckinghamshire Loan Granito;2022-06-23T02:44:37;8;8;8
9;núcleo;reboot Senegal Oficial;2022-06-22T03:56:58;9;9;9
10;Intranet Valenciana;cohesiva Borders Manzana;2022-06-22T18:32:17;10;10;10
